MO,TE,HU,WS,RR,Y
5,30,58,8,0,0
5,29.1,59,9,0,0
5,29.7,57,8,0,0
5,29.8,40,10,0,0
5,29,55,9,0,0
5,30.6,63,9,0,0
5,28.4,53,10,0,0
5,27.7,44,10,0,0
5,27.3,54,9,0,0
5,28.7,50,8,0,0
5,29.8,54,8,0,0
5,29.2,52,9,0,0
5,29.1,58,5,0,0
5,32,52,7,0,0
5,33.8,48,9,0,0
5,31.8,55,7,0,0
5,31.1,64,5,0,0
5,29.9,62,6,0,0
5,37.4,55,6,0,0
5,31.4,53,6,0,0
5,30.1,60,7,0,0
5,30.3,64,7,0,0
5,30.2,57,10,0,0
5,31,53,10,0,0
6,30.9,53,10,0,0
6,29.4,56,8,0,0
6,30.3,59,9,0,0
6,30.2,57,9,0,0
6,30.9,57,10,0,0
6,31.5,51,9,0,0
6,31,63,6,0,0
6,31.8,67,7,0,0
6,31.5,61,9,0,0
6,32,53,8,0,0
6,30.8,62,7,0,0
6,31.2,53,8,0,0
6,29.5,65,6,0,0
6,30.5,59,8,0,0
6,30.2,52,9,0,0
6,30.2,54,8,0,0
6,29.4,65,9,0,0
6,30.3,74,7,0,0
6,30.5,67,9,0,0
6,30.9,62,7,0,0
6,31.6,62,6,0,0
6,32.1,60,8,0,0
6,33.3,50,8,0,0
6,32.5,55,9,0,0
6,32.8,50,8,0,0
6,33.6,47,9,0,0
6,33.5,35,9,0,0
6,32.1,38,8,0,0
6,31.5,43,9,0,0
6,31.8,42,8,0,0
7,31.7,52,7,0,0
7,32.9,49,7,0,0
7,32.4,47,8,0,0
7,33.4,41,8,0,0
7,33.8,41,7,0,0
7,32.7,49,5,0,0
7,33.8,47,7,0,0
7,33.6,50,9,0,0
7,32.7,62,8,0,0
7,34.4,53,8,0,0
7,34.2,52,6,0,0
7,34.1,56,7,0,0
7,34.3,42,9,0,0
7,33.8,45,9,0,0
7,33.3,55,8,0,0
7,32.8,66,6,0,0
7,32.2,59,8,0,0
7,31.8,53,4,0,0
7,33.6,45,5,0,0
7,34.4,34,6,0,0
7,35.5,28,5,0,0
7,35,37,5,0,0
7,34.6,42,5,0,0
7,34.8,48,5,0,0
7,34.3,55,5,0,0
7,34.1,56,10,0,0
7,34.8,49,9,0,0
7,34.6,58,5,0,0
7,34.5,59,4,0,0
7,35,58,7,0,0
7,36.2,47,9,0,0
8,35.9,51,8,0,0
8,33.2,69,5,0,0
8,33.7,58,8,0,0
8,35.1,54,8,0,0
8,33.8,58,7,0,0
8,32.9,70,8,0,0
8,33.8,59,7,0,0
8,34.4,54,6,0,0
8,34.1,53,7,0,0
8,33.4,55,6,0,0
8,33.8,45,6,0,0
8,33.4,36,7,0,0
8,33,47,7,0,0
8,33.9,49,9,0,0
8,33.3,48,10,0,0
8,32.3,53,9,0,0
8,32.8,59,8,0,0
8,31.6,63,6,0,0
8,31.9,61,9,0,0
8,31.9,57,7,0,0
8,32.7,46,7,0,0
8,33.4,38,10,0,0
8,34.2,52,11,0,0
8,33.3,55,8,0,0
8,33.6,52,8,0,0
8,32.8,57,8,0,0
8,32,64,7,0,0
8,33.3,57,6,0,0
8,31.9,68,7,0,0
8,32.6,56,8,0,0
8,32,54,7,0,0
9,31.9,54,9,0,0
9,31,54,7,0,0
9,30.9,60,7,0,0
9,31.8,54,7,0,0
9,31.8,54,9,0,0
9,31.9,52,9,0,0
9,31.9,57,7,0,0
9,32.9,49,6,0,0
9,34,40,8,0,0
9,32.7,43,10,0,0
9,32.2,53,11,0,0
9,32.5,47,7,0,0
9,32.4,38,7,0,0
9,32.8,43,8,0,0
9,32,51,7,0,0
9,31.8,65,7,0,0
9,31.4,68,8,0,0
9,32.5,49,7,0,0
9,32.2,49,8,0,0
9,31.7,50,8,0,0
9,31.2,57,9,0,0
9,30.8,63,6,0,0
9,30.9,63,6,0,0
9,31.1,51,7,0,0
